Visit ID (v2 only),Visit Start,Visit End,Place UUID,Place Name,v1 User ID,v2 User ID,Platform,Visits,Dwell Time (seconds),URL,City,Phone,Address,Latitude,Longitude,Metro ID,Metro Title
7E1A61B9-F62F-4B02-883C-48809ED5EC35,2/19/2016 12:00:00,2/19/2016 12:26:00,D8E502731EF34D60AFC5E67E3CB9D457,Wick's Live on State,BiMKvc/mpcbN2bEDHurkkLg2Mak=,4608ECA2638A41E7A290D752FFAE83B8,ios,1,1557,http://www.wickspizza.com/Locations/Detail/4/Live-on-State,New Albany,812.945.9425,225 State Street,38.2840648,-85.823666,47,Louisville
A1702F54-AF31-48DE-8D6C-EDC4D35A1DE6,2/19/2016 12:00:00,2/19/2016 12:01:00,4E2DB6FC200444C49340709A3DED810A,The Neo-Futurarium,uhn8qXoFkFQO28J21ychUJfFiwI=,AF1E82A2F9E449ED9FF3F1CF33423C04,ios,1,40,http://www.neofuturists.org/,Chicago,773-275-5255,5153 N Ashland Ave,41.97533798,-87.66947937,3,Chicago
7A3401DE-AB4C-4584-A39A-F823541F7725,2/19/2016 12:00:00,2/19/2016 12:01:00,7E89746716B54303937A8CD4B6E2BCE1,The Neo-Futurarium,uhn8qXoFkFQO28J21ychUJfFiwI=,AF1E82A2F9E449ED9FF3F1CF33423C04,ios,1,40,http://www.neofuturists.org/,Chicago,773-275-5255,5153 N Ashland Ave,41.97533798,-87.66947937,3,Chicago
47DB3DAA-DC00-4C43-9453-8878E86B2F04,2/19/2016 12:00:00,2/19/2016 12:01:00,A45A6E7008B04FBC929C488E392B984C,The Neo-Futurarium,uhn8qXoFkFQO28J21ychUJfFiwI=,AF1E82A2F9E449ED9FF3F1CF33423C04,ios,1,52,http://www.neofuturists.org/,Chicago,773-275-5255,5153 N Ashland Ave,41.97533798,-87.66947937,3,Chicago
1490c53b-f19c-4d94-bd99-ec4bfad9fc86,2/19/2016 11:59:00,2/19/2016 11:59:00,C4696C5C636349829707E3A472F43B63,Blanton Museum of Art,gt49eTLLNGU9kVNxJaglXEpQQ60=,66be7227-058c-4f23-bfbe-a61c29b2863a,android,1,6,http://blantonmuseum.org,Austin,(512) 471-7324,MLK at Congress,30.280643,-97.7381291,1,Austin
A714EC57-80A8-4036-BC0F-55EB443D4DFC,2/19/2016 11:59:00,2/19/2016 12:00:00,58B10CDA0E56459CAD32C28A7C6AFB86,Tribe Comics & Games,12wZgqZ3BhZfqnsXyHFUANgXZA0=,D868FD69CF5A4593B0EE50F035EB7783,ios,1,17,http://www.tribecag.com/,Austin,512-693-4300,3005 S. Lamar Boulevard Suite D113,30.2413151,-97.7835974,1,Austin
39114FC3-1020-4FFA-85B1-0C6246B2752B,2/19/2016 11:59:00,2/19/2016 12:00:00,2BE1DB08E5414D71A6546A8D64C6D38D,Pinot's Palette South Lamar,12wZgqZ3BhZfqnsXyHFUANgXZA0=,D868FD69CF5A4593B0EE50F035EB7783,ios,1,20,http://www.pinotspalette.com/SouthLamar,Austin,(512) 326-2746,3005 S. Lamar Blvd. Suite B106,30.2413151,-97.7835974,1,Austin
c7733443-b232-43a7-a54a-b429c59d406a,2/19/2016 11:56:00,2/19/2016 12:13:00,FD4C796892B44927A54417419F44FD8A,The Elephant Room,VSMZAWo n7m4xBkHlWxCz15fST4=,1b382d30-ded5-4df6-9b1b-0c420819fc7b,android,1,1030,http://www.elephantroom.com/,Austin,512.473.2279,315 Congress Ave,30.2655978,-97.7432494,1,Austin
6BCC48A0-4458-4343-8431-5BE3223D2432,2/19/2016 11:55:00,2/19/2016 12:27:00,E8F07ACC369D481D9D1C554FC649F0C9,Deco Pizzeria,OYL5JWXYQnNE4MtGCyByUNNjD9k=,6CECD7F346FF4C76B91C955A507885AB,ios,1,1922,0,San Antonio,0,1815 Fredericksburg,29.4614894,-98.5233253,2,San Antonio
C6923916-BC91-47E8-ACB9-557FB8302770,2/19/2016 11:54:00,2/19/2016 11:54:00,76CF728BB283403BA696CC159DF93832,Not Erics House,wf0x9hevV i3T5vAO1Fbdll1bBo=,5ABF227B767D48EC83F10EDB7D505F1E,ios,1,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
